county,precinct,office,district,party,candidate,votes
Carter,MP001,U.S. Senate,,REP,Rand PAUL ,3797
Carter,MP001,U.S. Senate,,DEM,Jack CONWAY ,4475
Carter,MP001,U.S. Senate,,,Write-in,0
Carter,MP001,US Representative, 4th Congressional District,REP,Geoff DAVIS ,4874
Carter,MP001,US Representative, 4th Congressional District,DEM,John WALTZ ,3226
Carter,MP001,State Senator, 18th Senatorial District,REP,Jack DITTY ,3230
Carter,MP001,State Senator, 18th Senatorial District,DEM,Robin L. WEBB,5390
Carter,MP001,State Representative, 96th Representative District,REP,Jill YORK ,4305
Carter,MP001,State Representative, 96th Representative District,DEM,David HAYES ,4173
Carter,MP001,Commonwealth's Attorney, 37th Judicial Circuit,DEM,Gary E. CONN,6086
Carter,MP001,Circuit Judge Family Court, 37th Judicial Circuit,,David D. FLATT,5694
Carter,MP001,District Judge, 37th Judicial District,,Rupert WILHOIT ,6079
