county,precinct,office,district,party,candidate,votes
Trimble,AB,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",3
Trimble,A101,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",0
Trimble,A102,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",1
Trimble,A103,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",2
Trimble,B101,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",1
Trimble,B103,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",1
Trimble,B104,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",1
Trimble,C101,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",0
Trimble,C103,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",0
Trimble,C104,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",1
Trimble,D101,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",2
Trimble,D102,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",0
Trimble,D103,Governor and Lieutenant Governor,,,"Barbara ""Bobbie"" HOLSCLAW / Bill VERMILLION JR.",0
Trimble,AB,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,1
Trimble,A101,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,6
Trimble,A102,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,4
Trimble,A103,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,4
Trimble,B101,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,4
Trimble,B103,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,7
Trimble,B104,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,1
Trimble,C101,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,1
Trimble,C103,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,6
Trimble,C104,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,1
Trimble,D101,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,7
Trimble,D102,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,2
Trimble,D103,Governor and Lieutenant Governor,,,Phil MOFFETT / Mike HARMON,4
Trimble,AB,Governor and Lieutenant Governor,,,David L. WILLIAMS / Richie FARMER,1
Trimble,A101,Governor and Lieutenant Governor,,,David L. WILLIAMS / Richie FARMER,2
