county,precinct,office,district,party,candidate,votes
Lyon,AB,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,44
Lyon,A101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,117
Lyon,A102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,134
Lyon,B101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,125
Lyon,B102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,108
Lyon,C101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,140
Lyon,C102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,134
Lyon,AB,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,63
Lyon,A101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,188
Lyon,A102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,220
Lyon,B101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,194
Lyon,B102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,237
Lyon,C101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,207
Lyon,C102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,257
Lyon,AB,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,0
Lyon,A101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,19
Lyon,A102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,22
Lyon,B101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,21
Lyon,B102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,20
Lyon,C101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,16
Lyon,C102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,33
Lyon,AB,Secretary of State,,REP,Bill JOHNSON,45
Lyon,A101,Secretary of State,,REP,Bill JOHNSON,135
Lyon,A102,Secretary of State,,REP,Bill JOHNSON,145
Lyon,B101,Secretary of State,,REP,Bill JOHNSON,126
Lyon,B102,Secretary of State,,REP,Bill JOHNSON,117
Lyon,C101,Secretary of State,,REP,Bill JOHNSON,136
Lyon,C102,Secretary of State,,REP,Bill JOHNSON,138
Lyon,AB,Secretary of State,,DEM,Alison Lundergan GRIMES,60
Lyon,A101,Secretary of State,,DEM,Alison Lundergan GRIMES,187
Lyon,A102,Secretary of State,,DEM,Alison Lundergan GRIMES,226
Lyon,B101,Secretary of State,,DEM,Alison Lundergan GRIMES,204
Lyon,B102,Secretary of State,,DEM,Alison Lundergan GRIMES,234
Lyon,C101,Secretary of State,,DEM,Alison Lundergan GRIMES,219
Lyon,C102,Secretary of State,,DEM,Alison Lundergan GRIMES,271
Lyon,AB,Attorney General,,REP,Todd P'POOL,53
Lyon,A101,Attorney General,,REP,Todd P'POOL,173
Lyon,A102,Attorney General,,REP,Todd P'POOL,199
Lyon,B101,Attorney General,,REP,Todd P'POOL,170
Lyon,B102,Attorney General,,REP,Todd P'POOL,175
Lyon,C101,Attorney General,,REP,Todd P'POOL,170
Lyon,C102,Attorney General,,REP,Todd P'POOL,195
Lyon,AB,Attorney General,,DEM,Jack CONWAY,54
Lyon,A101,Attorney General,,DEM,Jack CONWAY,150
Lyon,A102,Attorney General,,DEM,Jack CONWAY,170
Lyon,B101,Attorney General,,DEM,Jack CONWAY,164
Lyon,B102,Attorney General,,DEM,Jack CONWAY,185
Lyon,C101,Attorney General,,DEM,Jack CONWAY,186
Lyon,C102,Attorney General,,DEM,Jack CONWAY,221
Lyon,AB,Auditor of Public Accounts,,REP,John T. KEMPER III.,47
Lyon,A101,Auditor of Public Accounts,,REP,John T. KEMPER III.,147
Lyon,A102,Auditor of Public Accounts,,REP,John T. KEMPER III.,164
Lyon,B101,Auditor of Public Accounts,,REP,John T. KEMPER III.,141
Lyon,B102,Auditor of Public Accounts,,REP,John T. KEMPER III.,146
Lyon,C101,Auditor of Public Accounts,,REP,John T. KEMPER III.,166
Lyon,C102,Auditor of Public Accounts,,REP,John T. KEMPER III.,167
Lyon,AB,Auditor of Public Accounts,,DEM,Adam H. EDELEN,54
Lyon,A101,Auditor of Public Accounts,,DEM,Adam H. EDELEN,159
Lyon,A102,Auditor of Public Accounts,,DEM,Adam H. EDELEN,186
Lyon,B101,Auditor of Public Accounts,,DEM,Adam H. EDELEN,171
Lyon,B102,Auditor of Public Accounts,,DEM,Adam H. EDELEN,191
Lyon,C101,Auditor of Public Accounts,,DEM,Adam H. EDELEN,171
Lyon,C102,Auditor of Public Accounts,,DEM,Adam H. EDELEN,232
Lyon,AB,Auditor of Public Accounts,,,Kim C. HAY,0
Lyon,AB,State Treasurer,,REP,K. C. CROSBIE,48
Lyon,A101,State Treasurer,,REP,K. C. CROSBIE,148
