county,precinct,office,district,party,candidate,votes
Montgomery,AB,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,41
Montgomery,A101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,33
Montgomery,A102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,37
Montgomery,A103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,83
Montgomery,A104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,66
Montgomery,A105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,3
Montgomery,A106,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,48
Montgomery,B101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,104
Montgomery,B102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,111
Montgomery,B103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,69
Montgomery,B104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,96
Montgomery,B105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,88
Montgomery,B107,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,92
Montgomery,B108,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,102
Montgomery,C101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,43
Montgomery,C102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,93
Montgomery,C103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,130
Montgomery,C104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,125
Montgomery,C105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,29
Montgomery,AB,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,94
Montgomery,A101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,85
Montgomery,A102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,120
Montgomery,A103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,151
Montgomery,A104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,142
Montgomery,A105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,56
Montgomery,A106,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,135
Montgomery,B101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,153
Montgomery,B102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,148
Montgomery,B103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,150
Montgomery,B104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,217
Montgomery,B105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,141
Montgomery,B107,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,139
Montgomery,B108,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,178
Montgomery,C101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,88
Montgomery,C102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,161
Montgomery,C103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,216
Montgomery,C104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,181
Montgomery,C105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,57
Montgomery,AB,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,30
Montgomery,A101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,26
Montgomery,A102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,45
Montgomery,A103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,31
Montgomery,A104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,33
Montgomery,A105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,8
Montgomery,A106,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,42
Montgomery,B101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,80
Montgomery,B102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,46
Montgomery,B103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,48
Montgomery,B104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,83
Montgomery,B105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,51
Montgomery,B107,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,61
Montgomery,B108,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,51
Montgomery,C101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,24
Montgomery,C102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,62
Montgomery,C103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,108
Montgomery,C104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,47
Montgomery,C105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,19
Montgomery,AB,Secretary of State,,REP,Bill JOHNSON,61
Montgomery,A101,Secretary of State,,REP,Bill JOHNSON,44
Montgomery,A102,Secretary of State,,REP,Bill JOHNSON,54
Montgomery,A103,Secretary of State,,REP,Bill JOHNSON,82
Montgomery,A104,Secretary of State,,REP,Bill JOHNSON,74
Montgomery,A105,Secretary of State,,REP,Bill JOHNSON,7
Montgomery,A106,Secretary of State,,REP,Bill JOHNSON,56
Montgomery,B101,Secretary of State,,REP,Bill JOHNSON,101
Montgomery,B102,Secretary of State,,REP,Bill JOHNSON,97
Montgomery,B103,Secretary of State,,REP,Bill JOHNSON,65
Montgomery,B104,Secretary of State,,REP,Bill JOHNSON,117
Montgomery,B105,Secretary of State,,REP,Bill JOHNSON,90
Montgomery,B107,Secretary of State,,REP,Bill JOHNSON,89
Montgomery,B108,Secretary of State,,REP,Bill JOHNSON,104
Montgomery,C101,Secretary of State,,REP,Bill JOHNSON,48
Montgomery,C102,Secretary of State,,REP,Bill JOHNSON,93
Montgomery,C103,Secretary of State,,REP,Bill JOHNSON,135
Montgomery,C104,Secretary of State,,REP,Bill JOHNSON,111
Montgomery,C105,Secretary of State,,REP,Bill JOHNSON,21
Montgomery,AB,Secretary of State,,DEM,Alison Lundergan GRIMES,103
Montgomery,A101,Secretary of State,,DEM,Alison Lundergan GRIMES,97
Montgomery,A102,Secretary of State,,DEM,Alison Lundergan GRIMES,141
Montgomery,A103,Secretary of State,,DEM,Alison Lundergan GRIMES,182
Montgomery,A104,Secretary of State,,DEM,Alison Lundergan GRIMES,166
Montgomery,A105,Secretary of State,,DEM,Alison Lundergan GRIMES,56
Montgomery,A106,Secretary of State,,DEM,Alison Lundergan GRIMES,167
Montgomery,B101,Secretary of State,,DEM,Alison Lundergan GRIMES,228
Montgomery,B102,Secretary of State,,DEM,Alison Lundergan GRIMES,199
Montgomery,B103,Secretary of State,,DEM,Alison Lundergan GRIMES,198
Montgomery,B104,Secretary of State,,DEM,Alison Lundergan GRIMES,275
Montgomery,B105,Secretary of State,,DEM,Alison Lundergan GRIMES,189
Montgomery,B107,Secretary of State,,DEM,Alison Lundergan GRIMES,201
Montgomery,B108,Secretary of State,,DEM,Alison Lundergan GRIMES,228
Montgomery,C101,Secretary of State,,DEM,Alison Lundergan GRIMES,107
Montgomery,C102,Secretary of State,,DEM,Alison Lundergan GRIMES,224
Montgomery,C103,Secretary of State,,DEM,Alison Lundergan GRIMES,310
Montgomery,C104,Secretary of State,,DEM,Alison Lundergan GRIMES,240
Montgomery,C105,Secretary of State,,DEM,Alison Lundergan GRIMES,81
Montgomery,AB,Attorney General,,REP,Todd P'POOL,66
Montgomery,A101,Attorney General,,REP,Todd P'POOL,43
