county,precinct,office,district,party,candidate,votes
Oldham,AB,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,141
Oldham,A101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,394
Oldham,A103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,227
Oldham,A104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,155
Oldham,A105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,126
Oldham,B101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,99
Oldham,B103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,47
Oldham,B104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,331
Oldham,B105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,106
Oldham,C101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,153
Oldham,C102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,189
Oldham,C104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,126
Oldham,C105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,138
Oldham,D101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,167
Oldham,D102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,93
Oldham,D103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,219
Oldham,D104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,241
Oldham,D105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,7
Oldham,E101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,235
Oldham,E102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,239
Oldham,E103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,201
Oldham,E105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,177
Oldham,F102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,211
Oldham,F103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,231
Oldham,F104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,134
Oldham,F105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,186
Oldham,G101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,173
Oldham,G102,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,322
Oldham,G103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,165
Oldham,G104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,127
Oldham,H101,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,209
Oldham,H103,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,199
Oldham,H104,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,117
Oldham,H105,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,114
Oldham,H106,Governor and Lieutenant Governor,,REP,David L. WILLIAMS / Richie FARMER,83
Oldham,AB,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,218
Oldham,A101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,466
Oldham,A103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,265
Oldham,A104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,253
Oldham,A105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,110
Oldham,B101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,141
Oldham,B103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,96
Oldham,B104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,408
Oldham,B105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,139
Oldham,C101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,149
Oldham,C102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,224
Oldham,C104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,132
Oldham,C105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,157
Oldham,D101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,215
Oldham,D102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,158
Oldham,D103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,217
Oldham,D104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,214
Oldham,D105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,27
Oldham,E101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,220
Oldham,E102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,240
Oldham,E103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,258
Oldham,E105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,215
Oldham,F102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,170
Oldham,F103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,266
Oldham,F104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,141
Oldham,F105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,190
Oldham,G101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,185
Oldham,G102,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,329
Oldham,G103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,202
Oldham,G104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,200
Oldham,H101,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,254
Oldham,H103,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,211
Oldham,H104,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,165
Oldham,H105,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,148
Oldham,H106,Governor and Lieutenant Governor,,DEM,Steven L. BESHEAR / Jerry E. ABRAMSON,96
Oldham,AB,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,20
Oldham,A101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,41
Oldham,A103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,39
Oldham,A104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,31
Oldham,A105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,16
Oldham,B101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,16
Oldham,B103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,13
Oldham,B104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,46
Oldham,B105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,12
Oldham,C101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,22
Oldham,C102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,28
Oldham,C104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,23
Oldham,C105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,32
Oldham,D101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,44
Oldham,D102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,23
Oldham,D103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,23
Oldham,D104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,21
Oldham,D105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,8
Oldham,E101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,17
Oldham,E102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,35
Oldham,E103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,30
Oldham,E105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,31
Oldham,F102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,27
Oldham,F103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,39
Oldham,F104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,18
Oldham,F105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,35
Oldham,G101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,22
Oldham,G102,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,32
Oldham,G103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,29
Oldham,G104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,22
Oldham,H101,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,26
Oldham,H103,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,38
Oldham,H104,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,24
Oldham,H105,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,24
Oldham,H106,Governor and Lieutenant Governor,,IND,Gatewood GALBRAITH / Dea RILEY,15
Oldham,AB,Secretary of State,,REP,Bill JOHNSON,174
Oldham,A101,Secretary of State,,REP,Bill JOHNSON,468
Oldham,A103,Secretary of State,,REP,Bill JOHNSON,262
Oldham,A104,Secretary of State,,REP,Bill JOHNSON,192
Oldham,A105,Secretary of State,,REP,Bill JOHNSON,149
Oldham,B101,Secretary of State,,REP,Bill JOHNSON,114
Oldham,B103,Secretary of State,,REP,Bill JOHNSON,51
Oldham,B104,Secretary of State,,REP,Bill JOHNSON,387
Oldham,B105,Secretary of State,,REP,Bill JOHNSON,109
Oldham,C101,Secretary of State,,REP,Bill JOHNSON,160
Oldham,C102,Secretary of State,,REP,Bill JOHNSON,209
Oldham,C104,Secretary of State,,REP,Bill JOHNSON,125
Oldham,C105,Secretary of State,,REP,Bill JOHNSON,158
Oldham,D101,Secretary of State,,REP,Bill JOHNSON,173
Oldham,D102,Secretary of State,,REP,Bill JOHNSON,114
Oldham,D103,Secretary of State,,REP,Bill JOHNSON,231
Oldham,D104,Secretary of State,,REP,Bill JOHNSON,249
Oldham,D105,Secretary of State,,REP,Bill JOHNSON,15
Oldham,E101,Secretary of State,,REP,Bill JOHNSON,230
Oldham,E102,Secretary of State,,REP,Bill JOHNSON,262
Oldham,E103,Secretary of State,,REP,Bill JOHNSON,212
Oldham,E105,Secretary of State,,REP,Bill JOHNSON,199
Oldham,F102,Secretary of State,,REP,Bill JOHNSON,229
Oldham,F103,Secretary of State,,REP,Bill JOHNSON,247
Oldham,F104,Secretary of State,,REP,Bill JOHNSON,136
Oldham,F105,Secretary of State,,REP,Bill JOHNSON,196
Oldham,G101,Secretary of State,,REP,Bill JOHNSON,209
Oldham,G102,Secretary of State,,REP,Bill JOHNSON,385
Oldham,G103,Secretary of State,,REP,Bill JOHNSON,175
Oldham,G104,Secretary of State,,REP,Bill JOHNSON,161
Oldham,H101,Secretary of State,,REP,Bill JOHNSON,233
Oldham,H103,Secretary of State,,REP,Bill JOHNSON,223
Oldham,H104,Secretary of State,,REP,Bill JOHNSON,143
Oldham,H105,Secretary of State,,REP,Bill JOHNSON,132
Oldham,H106,Secretary of State,,REP,Bill JOHNSON,91
Oldham,AB,Secretary of State,,DEM,Alison Lundergan GRIMES,202
Oldham,A101,Secretary of State,,DEM,Alison Lundergan GRIMES,430
Oldham,A103,Secretary of State,,DEM,Alison Lundergan GRIMES,261
Oldham,A104,Secretary of State,,DEM,Alison Lundergan GRIMES,242
Oldham,A105,Secretary of State,,DEM,Alison Lundergan GRIMES,100
Oldham,B101,Secretary of State,,DEM,Alison Lundergan GRIMES,146
Oldham,B103,Secretary of State,,DEM,Alison Lundergan GRIMES,104
Oldham,B104,Secretary of State,,DEM,Alison Lundergan GRIMES,392
Oldham,B105,Secretary of State,,DEM,Alison Lundergan GRIMES,146
Oldham,C101,Secretary of State,,DEM,Alison Lundergan GRIMES,160
Oldham,C102,Secretary of State,,DEM,Alison Lundergan GRIMES,237
Oldham,C104,Secretary of State,,DEM,Alison Lundergan GRIMES,154
Oldham,C105,Secretary of State,,DEM,Alison Lundergan GRIMES,164
Oldham,D101,Secretary of State,,DEM,Alison Lundergan GRIMES,247
Oldham,D102,Secretary of State,,DEM,Alison Lundergan GRIMES,159
Oldham,D103,Secretary of State,,DEM,Alison Lundergan GRIMES,222
Oldham,D104,Secretary of State,,DEM,Alison Lundergan GRIMES,217
Oldham,D105,Secretary of State,,DEM,Alison Lundergan GRIMES,28
Oldham,E101,Secretary of State,,DEM,Alison Lundergan GRIMES,242
