county,precinct,office,district,party,candidate,votes
Trigg,AB,President and Vice President of the United States,,,Newt GINGRICH,0
Trigg,A101,President and Vice President of the United States,,,Newt GINGRICH,2
Trigg,A102,President and Vice President of the United States,,,Newt GINGRICH,1
Trigg,B101,President and Vice President of the United States,,,Newt GINGRICH,0
Trigg,B102,President and Vice President of the United States,,,Newt GINGRICH,2
Trigg,C101,President and Vice President of the United States,,,Newt GINGRICH,1
Trigg,D101,President and Vice President of the United States,,,Newt GINGRICH,1
Trigg,D103,President and Vice President of the United States,,,Newt GINGRICH,0
Trigg,E101,President and Vice President of the United States,,,Newt GINGRICH,3
Trigg,E102,President and Vice President of the United States,,,Newt GINGRICH,1
Trigg,E104,President and Vice President of the United States,,,Newt GINGRICH,0
Trigg,F101,President and Vice President of the United States,,,Newt GINGRICH,1
Trigg,F102,President and Vice President of the United States,,,Newt GINGRICH,2
Trigg,G101,President and Vice President of the United States,,,Newt GINGRICH,2
Trigg,G102,President and Vice President of the United States,,,Newt GINGRICH,1
Trigg,AB,President and Vice President of the United States,,,Rick SANTORUM,4
Trigg,A101,President and Vice President of the United States,,,Rick SANTORUM,2
Trigg,A102,President and Vice President of the United States,,,Rick SANTORUM,0
Trigg,B101,President and Vice President of the United States,,,Rick SANTORUM,3
Trigg,B102,President and Vice President of the United States,,,Rick SANTORUM,12
Trigg,C101,President and Vice President of the United States,,,Rick SANTORUM,3
Trigg,D101,President and Vice President of the United States,,,Rick SANTORUM,2
Trigg,D103,President and Vice President of the United States,,,Rick SANTORUM,0
Trigg,E101,President and Vice President of the United States,,,Rick SANTORUM,5
Trigg,E102,President and Vice President of the United States,,,Rick SANTORUM,4
Trigg,E104,President and Vice President of the United States,,,Rick SANTORUM,0
Trigg,F101,President and Vice President of the United States,,,Rick SANTORUM,1
Trigg,F102,President and Vice President of the United States,,,Rick SANTORUM,2
Trigg,G101,President and Vice President of the United States,,,Rick SANTORUM,0
Trigg,G102,President and Vice President of the United States,,,Rick SANTORUM,2
Trigg,AB,President and Vice President of the United States,,,Mitt ROMNEY,25
Trigg,A101,President and Vice President of the United States,,,Mitt ROMNEY,22
Trigg,A102,President and Vice President of the United States,,,Mitt ROMNEY,0
Trigg,B101,President and Vice President of the United States,,,Mitt ROMNEY,8
Trigg,B102,President and Vice President of the United States,,,Mitt ROMNEY,39
Trigg,C101,President and Vice President of the United States,,,Mitt ROMNEY,21
Trigg,D101,President and Vice President of the United States,,,Mitt ROMNEY,9
Trigg,D103,President and Vice President of the United States,,,Mitt ROMNEY,5
Trigg,E101,President and Vice President of the United States,,,Mitt ROMNEY,11
Trigg,E102,President and Vice President of the United States,,,Mitt ROMNEY,10
Trigg,E104,President and Vice President of the United States,,,Mitt ROMNEY,2
Trigg,F101,President and Vice President of the United States,,,Mitt ROMNEY,4
Trigg,F102,President and Vice President of the United States,,,Mitt ROMNEY,34
Trigg,G101,President and Vice President of the United States,,,Mitt ROMNEY,22
Trigg,G102,President and Vice President of the United States,,,Mitt ROMNEY,15
Trigg,AB,President and Vice President of the United States,,,Ron PAUL,2
Trigg,A101,President and Vice President of the United States,,,Ron PAUL,6
Trigg,A102,President and Vice President of the United States,,,Ron PAUL,1
