county,precinct,office,district,party,candidate,votes
Henderson,AB,President,,REP,Mitt ROMNEY / Paul RYAN,611
Henderson,A101,President,,REP,Mitt ROMNEY / Paul RYAN,213
Henderson,A102,President,,REP,Mitt ROMNEY / Paul RYAN,183
Henderson,A108,President,,REP,Mitt ROMNEY / Paul RYAN,267
Henderson,A110,President,,REP,Mitt ROMNEY / Paul RYAN,398
Henderson,A111,President,,REP,Mitt ROMNEY / Paul RYAN,314
Henderson,A112,President,,REP,Mitt ROMNEY / Paul RYAN,263
Henderson,A113,President,,REP,Mitt ROMNEY / Paul RYAN,286
Henderson,A114,President,,REP,Mitt ROMNEY / Paul RYAN,380
Henderson,A116,President,,REP,Mitt ROMNEY / Paul RYAN,220
Henderson,B101,President,,REP,Mitt ROMNEY / Paul RYAN,249
Henderson,B102,President,,REP,Mitt ROMNEY / Paul RYAN,157
Henderson,B103,President,,REP,Mitt ROMNEY / Paul RYAN,320
Henderson,B104,President,,REP,Mitt ROMNEY / Paul RYAN,285
Henderson,B105,President,,REP,Mitt ROMNEY / Paul RYAN,310
Henderson,B106,President,,REP,Mitt ROMNEY / Paul RYAN,255
Henderson,B108,President,,REP,Mitt ROMNEY / Paul RYAN,241
Henderson,B109,President,,REP,Mitt ROMNEY / Paul RYAN,85
Henderson,B110,President,,REP,Mitt ROMNEY / Paul RYAN,365
Henderson,B111,President,,REP,Mitt ROMNEY / Paul RYAN,369
Henderson,C101,President,,REP,Mitt ROMNEY / Paul RYAN,203
Henderson,C102,President,,REP,Mitt ROMNEY / Paul RYAN,236
Henderson,C103,President,,REP,Mitt ROMNEY / Paul RYAN,166
Henderson,C104,President,,REP,Mitt ROMNEY / Paul RYAN,277
Henderson,C105,President,,REP,Mitt ROMNEY / Paul RYAN,164
Henderson,C106,President,,REP,Mitt ROMNEY / Paul RYAN,147
Henderson,C107,President,,REP,Mitt ROMNEY / Paul RYAN,222
Henderson,C108,President,,REP,Mitt ROMNEY / Paul RYAN,93
Henderson,C109,President,,REP,Mitt ROMNEY / Paul RYAN,195
Henderson,C110,President,,REP,Mitt ROMNEY / Paul RYAN,161
Henderson,D101,President,,REP,Mitt ROMNEY / Paul RYAN,153
Henderson,D102,President,,REP,Mitt ROMNEY / Paul RYAN,49
Henderson,D103,President,,REP,Mitt ROMNEY / Paul RYAN,165
Henderson,D104,President,,REP,Mitt ROMNEY / Paul RYAN,99
Henderson,D106,President,,REP,Mitt ROMNEY / Paul RYAN,130
Henderson,D108,President,,REP,Mitt ROMNEY / Paul RYAN,107
Henderson,D109,President,,REP,Mitt ROMNEY / Paul RYAN,157
Henderson,E101,President,,REP,Mitt ROMNEY / Paul RYAN,187
Henderson,E103,President,,REP,Mitt ROMNEY / Paul RYAN,152
Henderson,E105,President,,REP,Mitt ROMNEY / Paul RYAN,186
Henderson,E106,President,,REP,Mitt ROMNEY / Paul RYAN,120
Henderson,E107,President,,REP,Mitt ROMNEY / Paul RYAN,204
Henderson,E108,President,,REP,Mitt ROMNEY / Paul RYAN,223
Henderson,E109,President,,REP,Mitt ROMNEY / Paul RYAN,215
Henderson,E110,President,,REP,Mitt ROMNEY / Paul RYAN,195
Henderson,E111,President,,REP,Mitt ROMNEY / Paul RYAN,136
Henderson,E112,President,,REP,Mitt ROMNEY / Paul RYAN,183
Henderson,AB,President,,DEM,Barack OBAMA / Joe BIDEN,450
Henderson,A101,President,,DEM,Barack OBAMA / Joe BIDEN,155
Henderson,A102,President,,DEM,Barack OBAMA / Joe BIDEN,131
Henderson,A108,President,,DEM,Barack OBAMA / Joe BIDEN,201
Henderson,A110,President,,DEM,Barack OBAMA / Joe BIDEN,177
Henderson,A111,President,,DEM,Barack OBAMA / Joe BIDEN,253
Henderson,A112,President,,DEM,Barack OBAMA / Joe BIDEN,132
Henderson,A113,President,,DEM,Barack OBAMA / Joe BIDEN,217
Henderson,A114,President,,DEM,Barack OBAMA / Joe BIDEN,164
Henderson,A116,President,,DEM,Barack OBAMA / Joe BIDEN,239
Henderson,B101,President,,DEM,Barack OBAMA / Joe BIDEN,161
Henderson,B102,President,,DEM,Barack OBAMA / Joe BIDEN,64
