county,precinct,office,district,party,candidate,votes
Washington,AB,President,,REP,Mitt ROMNEY / Paul RYAN,185
Washington,A101,President,,REP,Mitt ROMNEY / Paul RYAN,214
Washington,A102,President,,REP,Mitt ROMNEY / Paul RYAN,361
Washington,A103,President,,REP,Mitt ROMNEY / Paul RYAN,85
Washington,B101,President,,REP,Mitt ROMNEY / Paul RYAN,289
Washington,B102,President,,REP,Mitt ROMNEY / Paul RYAN,365
Washington,C101,President,,REP,Mitt ROMNEY / Paul RYAN,133
Washington,C102,President,,REP,Mitt ROMNEY / Paul RYAN,245
Washington,C103,President,,REP,Mitt ROMNEY / Paul RYAN,143
Washington,D101,President,,REP,Mitt ROMNEY / Paul RYAN,199
Washington,D102,President,,REP,Mitt ROMNEY / Paul RYAN,191
Washington,E101,President,,REP,Mitt ROMNEY / Paul RYAN,152
Washington,E102,President,,REP,Mitt ROMNEY / Paul RYAN,305
Washington,F101,President,,REP,Mitt ROMNEY / Paul RYAN,213
Washington,F102,President,,REP,Mitt ROMNEY / Paul RYAN,415
Washington,AB,President,,DEM,Barack OBAMA / Joe BIDEN,107
Washington,A101,President,,DEM,Barack OBAMA / Joe BIDEN,71
Washington,A102,President,,DEM,Barack OBAMA / Joe BIDEN,72
Washington,A103,President,,DEM,Barack OBAMA / Joe BIDEN,21
Washington,B101,President,,DEM,Barack OBAMA / Joe BIDEN,84
Washington,B102,President,,DEM,Barack OBAMA / Joe BIDEN,143
Washington,C101,President,,DEM,Barack OBAMA / Joe BIDEN,34
Washington,C102,President,,DEM,Barack OBAMA / Joe BIDEN,57
Washington,C103,President,,DEM,Barack OBAMA / Joe BIDEN,63
Washington,D101,President,,DEM,Barack OBAMA / Joe BIDEN,186
Washington,D102,President,,DEM,Barack OBAMA / Joe BIDEN,188
Washington,E101,President,,DEM,Barack OBAMA / Joe BIDEN,97
Washington,E102,President,,DEM,Barack OBAMA / Joe BIDEN,210
Washington,F101,President,,DEM,Barack OBAMA / Joe BIDEN,106
Washington,F102,President,,DEM,Barack OBAMA / Joe BIDEN,230
Washington,AB,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,A101,President,,GRN,Jill STEIN / Cheri HONKALA,0
Washington,A102,President,,GRN,Jill STEIN / Cheri HONKALA,0
Washington,A103,President,,GRN,Jill STEIN / Cheri HONKALA,0
Washington,B101,President,,GRN,Jill STEIN / Cheri HONKALA,0
Washington,B102,President,,GRN,Jill STEIN / Cheri HONKALA,3
Washington,C101,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,C102,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,C103,President,,GRN,Jill STEIN / Cheri HONKALA,0
Washington,D101,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,D102,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,E101,President,,GRN,Jill STEIN / Cheri HONKALA,0
Washington,E102,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,F101,President,,GRN,Jill STEIN / Cheri HONKALA,4
Washington,F102,President,,GRN,Jill STEIN / Cheri HONKALA,1
Washington,AB,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,A101,President,,IND,Randall A. TERRY / Missy Reilly SMITH,2
Washington,A102,President,,IND,Randall A. TERRY / Missy Reilly SMITH,0
Washington,A103,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,B101,President,,IND,Randall A. TERRY / Missy Reilly SMITH,0
Washington,B102,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,C101,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,C102,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,C103,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,D101,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,D102,President,,IND,Randall A. TERRY / Missy Reilly SMITH,3
Washington,E101,President,,IND,Randall A. TERRY / Missy Reilly SMITH,0
Washington,E102,President,,IND,Randall A. TERRY / Missy Reilly SMITH,2
Washington,F101,President,,IND,Randall A. TERRY / Missy Reilly SMITH,1
Washington,F102,President,,IND,Randall A. TERRY / Missy Reilly SMITH,2
Washington,AB,President,,LIB,Gary JOHNSON / James P. GRAY,2
Washington,A101,President,,LIB,Gary JOHNSON / James P. GRAY,0
Washington,A102,President,,LIB,Gary JOHNSON / James P. GRAY,1
Washington,A103,President,,LIB,Gary JOHNSON / James P. GRAY,0
Washington,B101,President,,LIB,Gary JOHNSON / James P. GRAY,2
Washington,B102,President,,LIB,Gary JOHNSON / James P. GRAY,0
Washington,C101,President,,LIB,Gary JOHNSON / James P. GRAY,0
Washington,C102,President,,LIB,Gary JOHNSON / James P. GRAY,0
Washington,C103,President,,LIB,Gary JOHNSON / James P. GRAY,2
Washington,D101,President,,LIB,Gary JOHNSON / James P. GRAY,4
