county,precinct,office,district,party,candidate,votes
Spencer,AB2,U.S. Senate,,,Matt BEVIN,7
Spencer,AB4,U.S. Senate,,,Matt BEVIN,26
Spencer,A101,U.S. Senate,,,Matt BEVIN,108
Spencer,B101,U.S. Senate,,,Matt BEVIN,72
Spencer,B102,U.S. Senate,,,Matt BEVIN,81
Spencer,C101,U.S. Senate,,,Matt BEVIN,86
Spencer,C102,U.S. Senate,,,Matt BEVIN,164
Spencer,D101,U.S. Senate,,,Matt BEVIN,19
Spencer,D102,U.S. Senate,,,Matt BEVIN,26
Spencer,D103,U.S. Senate,,,Matt BEVIN,13
Spencer,D104,U.S. Senate,,,Matt BEVIN,19
Spencer,D105,U.S. Senate,,,Matt BEVIN,27
Spencer,D106,U.S. Senate,,,Matt BEVIN,1
Spencer,E101,U.S. Senate,,,Matt BEVIN,55
Spencer,E102,U.S. Senate,,,Matt BEVIN,41
Spencer,E103,U.S. Senate,,,Matt BEVIN,37
Spencer,AB2,U.S. Senate,,,Brad COPAS,0
Spencer,AB4,U.S. Senate,,,Brad COPAS,0
Spencer,A101,U.S. Senate,,,Brad COPAS,2
Spencer,B101,U.S. Senate,,,Brad COPAS,1
Spencer,B102,U.S. Senate,,,Brad COPAS,1
Spencer,C101,U.S. Senate,,,Brad COPAS,2
Spencer,C102,U.S. Senate,,,Brad COPAS,0
Spencer,D101,U.S. Senate,,,Brad COPAS,0
Spencer,D102,U.S. Senate,,,Brad COPAS,1
Spencer,D103,U.S. Senate,,,Brad COPAS,0
Spencer,D104,U.S. Senate,,,Brad COPAS,1
Spencer,D105,U.S. Senate,,,Brad COPAS,0
Spencer,D106,U.S. Senate,,,Brad COPAS,0
Spencer,E101,U.S. Senate,,,Brad COPAS,1
Spencer,E102,U.S. Senate,,,Brad COPAS,1
Spencer,E103,U.S. Senate,,,Brad COPAS,2
Spencer,AB2,U.S. Senate,,,Mitch McCONNELL,14
Spencer,AB4,U.S. Senate,,,Mitch McCONNELL,27
Spencer,A101,U.S. Senate,,,Mitch McCONNELL,165
Spencer,B101,U.S. Senate,,,Mitch McCONNELL,77
Spencer,B102,U.S. Senate,,,Mitch McCONNELL,105
Spencer,C101,U.S. Senate,,,Mitch McCONNELL,109
Spencer,C102,U.S. Senate,,,Mitch McCONNELL,136
Spencer,D101,U.S. Senate,,,Mitch McCONNELL,36
Spencer,D102,U.S. Senate,,,Mitch McCONNELL,36
Spencer,D103,U.S. Senate,,,Mitch McCONNELL,20
Spencer,D104,U.S. Senate,,,Mitch McCONNELL,16
Spencer,D105,U.S. Senate,,,Mitch McCONNELL,23
Spencer,D106,U.S. Senate,,,Mitch McCONNELL,6
Spencer,E101,U.S. Senate,,,Mitch McCONNELL,52
Spencer,E102,U.S. Senate,,,Mitch McCONNELL,55
Spencer,E103,U.S. Senate,,,Mitch McCONNELL,69
Spencer,AB2,U.S. Senate,,,Chris PAYNE,0
Spencer,AB4,U.S. Senate,,,Chris PAYNE,0
Spencer,A101,U.S. Senate,,,Chris PAYNE,2
Spencer,B101,U.S. Senate,,,Chris PAYNE,2
Spencer,B102,U.S. Senate,,,Chris PAYNE,1
Spencer,C101,U.S. Senate,,,Chris PAYNE,2
Spencer,C102,U.S. Senate,,,Chris PAYNE,1
Spencer,D101,U.S. Senate,,,Chris PAYNE,1
Spencer,D102,U.S. Senate,,,Chris PAYNE,0
Spencer,D103,U.S. Senate,,,Chris PAYNE,0
Spencer,D104,U.S. Senate,,,Chris PAYNE,0
Spencer,D105,U.S. Senate,,,Chris PAYNE,1
Spencer,D106,U.S. Senate,,,Chris PAYNE,0
Spencer,E101,U.S. Senate,,,Chris PAYNE,1
Spencer,E102,U.S. Senate,,,Chris PAYNE,0
Spencer,E103,U.S. Senate,,,Chris PAYNE,1
Spencer,AB2,U.S. Senate,,,Shawna STERLING,0
Spencer,AB4,U.S. Senate,,,Shawna STERLING,0
Spencer,A101,U.S. Senate,,,Shawna STERLING,3
Spencer,B101,U.S. Senate,,,Shawna STERLING,0
Spencer,B102,U.S. Senate,,,Shawna STERLING,2
Spencer,C101,U.S. Senate,,,Shawna STERLING,3
Spencer,C102,U.S. Senate,,,Shawna STERLING,0
Spencer,D101,U.S. Senate,,,Shawna STERLING,0
Spencer,D102,U.S. Senate,,,Shawna STERLING,2
Spencer,D103,U.S. Senate,,,Shawna STERLING,0
Spencer,D104,U.S. Senate,,,Shawna STERLING,0
Spencer,D105,U.S. Senate,,,Shawna STERLING,1
Spencer,D106,U.S. Senate,,,Shawna STERLING,0
Spencer,E101,U.S. Senate,,,Shawna STERLING,5
Spencer,E102,U.S. Senate,,,Shawna STERLING,0
Spencer,E103,U.S. Senate,,,Shawna STERLING,0
Spencer,AB2,County Judge/Executive,,,Don PAY,4
Spencer,AB4,County Judge/Executive,,,Don PAY,20
Spencer,A101,County Judge/Executive,,,Don PAY,84
Spencer,B101,County Judge/Executive,,,Don PAY,45
Spencer,B102,County Judge/Executive,,,Don PAY,39
Spencer,C101,County Judge/Executive,,,Don PAY,25
Spencer,C102,County Judge/Executive,,,Don PAY,61
Spencer,D101,County Judge/Executive,,,Don PAY,14
Spencer,D102,County Judge/Executive,,,Don PAY,9
Spencer,D103,County Judge/Executive,,,Don PAY,12
Spencer,D104,County Judge/Executive,,,Don PAY,15
Spencer,D105,County Judge/Executive,,,Don PAY,15
Spencer,D106,County Judge/Executive,,,Don PAY,0
Spencer,E101,County Judge/Executive,,,Don PAY,23
Spencer,E102,County Judge/Executive,,,Don PAY,30
Spencer,E103,County Judge/Executive,,,Don PAY,13
Spencer,AB2,County Judge/Executive,,,John RILEY,11
Spencer,AB4,County Judge/Executive,,,John RILEY,27
Spencer,A101,County Judge/Executive,,,John RILEY,149
Spencer,B101,County Judge/Executive,,,John RILEY,79
Spencer,B102,County Judge/Executive,,,John RILEY,108
Spencer,C101,County Judge/Executive,,,John RILEY,126
Spencer,C102,County Judge/Executive,,,John RILEY,179
Spencer,D101,County Judge/Executive,,,John RILEY,26
Spencer,D102,County Judge/Executive,,,John RILEY,47
Spencer,D103,County Judge/Executive,,,John RILEY,16
Spencer,D104,County Judge/Executive,,,John RILEY,19
Spencer,D105,County Judge/Executive,,,John RILEY,23
Spencer,D106,County Judge/Executive,,,John RILEY,6
Spencer,E101,County Judge/Executive,,,John RILEY,60
Spencer,E102,County Judge/Executive,,,John RILEY,50
Spencer,E103,County Judge/Executive,,,John RILEY,67
Spencer,AB2,County Judge/Executive,,,Lawrence TRAGESER,5
Spencer,AB4,County Judge/Executive,,,Lawrence TRAGESER,5
Spencer,A101,County Judge/Executive,,,Lawrence TRAGESER,26
Spencer,B101,County Judge/Executive,,,Lawrence TRAGESER,9
Spencer,B102,County Judge/Executive,,,Lawrence TRAGESER,20
Spencer,C101,County Judge/Executive,,,Lawrence TRAGESER,26
Spencer,C102,County Judge/Executive,,,Lawrence TRAGESER,26
Spencer,D101,County Judge/Executive,,,Lawrence TRAGESER,9
Spencer,D102,County Judge/Executive,,,Lawrence TRAGESER,3
Spencer,D103,County Judge/Executive,,,Lawrence TRAGESER,3
Spencer,D104,County Judge/Executive,,,Lawrence TRAGESER,4
Spencer,D105,County Judge/Executive,,,Lawrence TRAGESER,11
Spencer,D106,County Judge/Executive,,,Lawrence TRAGESER,0
Spencer,E101,County Judge/Executive,,,Lawrence TRAGESER,13
Spencer,E102,County Judge/Executive,,,Lawrence TRAGESER,6
Spencer,E103,County Judge/Executive,,,Lawrence TRAGESER,15
Spencer,AB2,Sheriff,,,Bobby J. WHITELY,3
Spencer,AB4,Sheriff,,,Bobby J. WHITELY,15
Spencer,A101,Sheriff,,,Bobby J. WHITELY,104
Spencer,B101,Sheriff,,,Bobby J. WHITELY,39
Spencer,B102,Sheriff,,,Bobby J. WHITELY,56
Spencer,C101,Sheriff,,,Bobby J. WHITELY,56
Spencer,C102,Sheriff,,,Bobby J. WHITELY,84
Spencer,D101,Sheriff,,,Bobby J. WHITELY,25
Spencer,D102,Sheriff,,,Bobby J. WHITELY,15
Spencer,D103,Sheriff,,,Bobby J. WHITELY,5
Spencer,D104,Sheriff,,,Bobby J. WHITELY,11
Spencer,D105,Sheriff,,,Bobby J. WHITELY,19
Spencer,D106,Sheriff,,,Bobby J. WHITELY,4
Spencer,E101,Sheriff,,,Bobby J. WHITELY,27
