county,precinct,office,district,party,candidate,votes
Carroll,AB,U.S. Senate,,REP,Mitch McCONNELL,69
Carroll,A101,U.S. Senate,,REP,Mitch McCONNELL,175
Carroll,A102,U.S. Senate,,REP,Mitch McCONNELL,225
Carroll,A103,U.S. Senate,,REP,Mitch McCONNELL,154
Carroll,B101,U.S. Senate,,REP,Mitch McCONNELL,80
Carroll,B102,U.S. Senate,,REP,Mitch McCONNELL,129
Carroll,B103,U.S. Senate,,REP,Mitch McCONNELL,115
Carroll,B104,U.S. Senate,,REP,Mitch McCONNELL,79
Carroll,C101,U.S. Senate,,REP,Mitch McCONNELL,67
Carroll,C102,U.S. Senate,,REP,Mitch McCONNELL,80
Carroll,C103,U.S. Senate,,REP,Mitch McCONNELL,185
Carroll,C104,U.S. Senate,,REP,Mitch McCONNELL,325
Carroll,AB,U.S. Senate,,DEM,Alison Lundergan GRIMES,80
Carroll,A101,U.S. Senate,,DEM,Alison Lundergan GRIMES,130
Carroll,A102,U.S. Senate,,DEM,Alison Lundergan GRIMES,217
Carroll,A103,U.S. Senate,,DEM,Alison Lundergan GRIMES,189
Carroll,B101,U.S. Senate,,DEM,Alison Lundergan GRIMES,130
Carroll,B102,U.S. Senate,,DEM,Alison Lundergan GRIMES,175
Carroll,B103,U.S. Senate,,DEM,Alison Lundergan GRIMES,131
Carroll,B104,U.S. Senate,,DEM,Alison Lundergan GRIMES,70
Carroll,C101,U.S. Senate,,DEM,Alison Lundergan GRIMES,34
Carroll,C102,U.S. Senate,,DEM,Alison Lundergan GRIMES,50
Carroll,C103,U.S. Senate,,DEM,Alison Lundergan GRIMES,142
Carroll,C104,U.S. Senate,,DEM,Alison Lundergan GRIMES,301
Carroll,AB,U.S. Senate,,LIB,David M. PATTERSON,7
Carroll,A101,U.S. Senate,,LIB,David M. PATTERSON,11
Carroll,A102,U.S. Senate,,LIB,David M. PATTERSON,13
Carroll,A103,U.S. Senate,,LIB,David M. PATTERSON,13
Carroll,B101,U.S. Senate,,LIB,David M. PATTERSON,3
Carroll,B102,U.S. Senate,,LIB,David M. PATTERSON,18
Carroll,B103,U.S. Senate,,LIB,David M. PATTERSON,9
Carroll,B104,U.S. Senate,,LIB,David M. PATTERSON,6
Carroll,C101,U.S. Senate,,LIB,David M. PATTERSON,8
Carroll,C102,U.S. Senate,,LIB,David M. PATTERSON,8
Carroll,C103,U.S. Senate,,LIB,David M. PATTERSON,9
Carroll,C104,U.S. Senate,,LIB,David M. PATTERSON,15
Carroll,AB,US Representative, 4th Congressional District,REP,Thomas MASSIE,79
Carroll,A101,US Representative, 4th Congressional District,REP,Thomas MASSIE,174
Carroll,A102,US Representative, 4th Congressional District,REP,Thomas MASSIE,236
Carroll,A103,US Representative, 4th Congressional District,REP,Thomas MASSIE,167
Carroll,B101,US Representative, 4th Congressional District,REP,Thomas MASSIE,88
Carroll,B102,US Representative, 4th Congressional District,REP,Thomas MASSIE,155
Carroll,B103,US Representative, 4th Congressional District,REP,Thomas MASSIE,123
Carroll,B104,US Representative, 4th Congressional District,REP,Thomas MASSIE,75
Carroll,C101,US Representative, 4th Congressional District,REP,Thomas MASSIE,72
Carroll,C102,US Representative, 4th Congressional District,REP,Thomas MASSIE,77
Carroll,C103,US Representative, 4th Congressional District,REP,Thomas MASSIE,185
Carroll,C104,US Representative, 4th Congressional District,REP,Thomas MASSIE,355
Carroll,AB,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,68
Carroll,A101,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,118
Carroll,A102,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,186
Carroll,A103,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,167
Carroll,B101,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,101
Carroll,B102,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,139
Carroll,B103,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,109
Carroll,B104,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,64
Carroll,C101,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,30
Carroll,C102,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,50
Carroll,C103,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,123
Carroll,C104,US Representative, 4th Congressional District,DEM,Peter NEWBERRY,243
Carroll,AB,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,100
Carroll,A101,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,228
Carroll,A102,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,311
Carroll,A103,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,241
Carroll,B101,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,117
Carroll,B102,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,201
Carroll,B103,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,150
Carroll,B104,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,112
Carroll,C101,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,84
Carroll,C102,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,95
Carroll,C103,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,239
Carroll,C104,State Senator, 20th Senatorial District,REP,Paul R. HORNBACK,433
Carroll,AB,State Representative, 47th Representative District,DEM,Rick W. RAND,136
Carroll,A101,State Representative, 47th Representative District,DEM,Rick W. RAND,270
Carroll,A102,State Representative, 47th Representative District,DEM,Rick W. RAND,390
Carroll,A103,State Representative, 47th Representative District,DEM,Rick W. RAND,301
Carroll,B101,State Representative, 47th Representative District,DEM,Rick W. RAND,176
Carroll,B102,State Representative, 47th Representative District,DEM,Rick W. RAND,282
Carroll,B103,State Representative, 47th Representative District,DEM,Rick W. RAND,215
Carroll,B104,State Representative, 47th Representative District,DEM,Rick W. RAND,125
Carroll,C101,State Representative, 47th Representative District,DEM,Rick W. RAND,89
Carroll,C102,State Representative, 47th Representative District,DEM,Rick W. RAND,117
Carroll,C103,State Representative, 47th Representative District,DEM,Rick W. RAND,282
Carroll,C104,State Representative, 47th Representative District,DEM,Rick W. RAND,550
Carroll,AB,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,138
Carroll,A101,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,265
Carroll,A102,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,383
Carroll,A103,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,306
Carroll,B101,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,181
Carroll,B102,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,284
Carroll,B103,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,216
Carroll,B104,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,121
Carroll,C101,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,92
Carroll,C102,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,117
Carroll,C103,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,275
Carroll,C104,PROPERTY VALUATION ADMINISTRATOR,,DEM,Rob ROBERTSON,542
Carroll,AB,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,144
Carroll,A101,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,270
Carroll,A102,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,405
Carroll,A103,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,301
Carroll,B101,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,192
Carroll,B102,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,285
Carroll,B103,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,218
Carroll,B104,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,135
Carroll,C101,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,96
Carroll,C102,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,127
Carroll,C103,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,294
Carroll,C104,COUNTY JUDGE/EXECUTIVE,,DEM,Bobby Lee WESTRICK,541
Carroll,AB,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,141
Carroll,A101,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,264
Carroll,A102,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,393
Carroll,A103,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,287
Carroll,B101,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,185
Carroll,B102,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,264
Carroll,B103,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,214
Carroll,B104,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,128
Carroll,C101,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,89
Carroll,C102,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,119
Carroll,C103,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,266
Carroll,C104,COUNTY ATTORNEY,,DEM,Nicholas A. MARSH,544
Carroll,AB,COUNTY CLERK,,DEM,Alice W. MARSH,147
Carroll,A101,COUNTY CLERK,,DEM,Alice W. MARSH,281
Carroll,A102,COUNTY CLERK,,DEM,Alice W. MARSH,405
Carroll,A103,COUNTY CLERK,,DEM,Alice W. MARSH,306
Carroll,B101,COUNTY CLERK,,DEM,Alice W. MARSH,195
Carroll,B102,COUNTY CLERK,,DEM,Alice W. MARSH,275
Carroll,B103,COUNTY CLERK,,DEM,Alice W. MARSH,226
Carroll,B104,COUNTY CLERK,,DEM,Alice W. MARSH,136
Carroll,C101,COUNTY CLERK,,DEM,Alice W. MARSH,95
Carroll,C102,COUNTY CLERK,,DEM,Alice W. MARSH,121
Carroll,C103,COUNTY CLERK,,DEM,Alice W. MARSH,282
Carroll,C104,COUNTY CLERK,,DEM,Alice W. MARSH,562
Carroll,AB,SHERIFF,,DEM,Jamie KINMAN,92
Carroll,A101,SHERIFF,,DEM,Jamie KINMAN,172
Carroll,A102,SHERIFF,,DEM,Jamie KINMAN,270
Carroll,A103,SHERIFF,,DEM,Jamie KINMAN,155
Carroll,B101,SHERIFF,,DEM,Jamie KINMAN,91
Carroll,B102,SHERIFF,,DEM,Jamie KINMAN,133
Carroll,B103,SHERIFF,,DEM,Jamie KINMAN,119
Carroll,B104,SHERIFF,,DEM,Jamie KINMAN,68
Carroll,C101,SHERIFF,,DEM,Jamie KINMAN,57
Carroll,C102,SHERIFF,,DEM,Jamie KINMAN,73
Carroll,C103,SHERIFF,,DEM,Jamie KINMAN,166
Carroll,C104,SHERIFF,,DEM,Jamie KINMAN,262
Carroll,AB,JAILER,,DEM,Michael W. HUMPHREY,123
Carroll,A101,JAILER,,DEM,Michael W. HUMPHREY,235
Carroll,A102,JAILER,,DEM,Michael W. HUMPHREY,339
Carroll,A103,JAILER,,DEM,Michael W. HUMPHREY,270
Carroll,B101,JAILER,,DEM,Michael W. HUMPHREY,154
