county,precinct,office,district,party,candidate,votes
Monroe,AB,U.S. Senate,,REP,Mitch McCONNELL,199
Monroe,A101,U.S. Senate,,REP,Mitch McCONNELL,104
Monroe,A102,U.S. Senate,,REP,Mitch McCONNELL,438
Monroe,A103,U.S. Senate,,REP,Mitch McCONNELL,79
Monroe,B101,U.S. Senate,,REP,Mitch McCONNELL,356
Monroe,B102,U.S. Senate,,REP,Mitch McCONNELL,228
Monroe,C101,U.S. Senate,,REP,Mitch McCONNELL,350
Monroe,C102,U.S. Senate,,REP,Mitch McCONNELL,146
Monroe,C103,U.S. Senate,,REP,Mitch McCONNELL,281
Monroe,D101,U.S. Senate,,REP,Mitch McCONNELL,276
Monroe,D102,U.S. Senate,,REP,Mitch McCONNELL,350
Monroe,E101,U.S. Senate,,REP,Mitch McCONNELL,297
Monroe,E102,U.S. Senate,,REP,Mitch McCONNELL,368
Monroe,AB,U.S. Senate,,DEM,Alison Lundergan GRIMES,60
Monroe,A101,U.S. Senate,,DEM,Alison Lundergan GRIMES,39
Monroe,A102,U.S. Senate,,DEM,Alison Lundergan GRIMES,127
Monroe,A103,U.S. Senate,,DEM,Alison Lundergan GRIMES,21
Monroe,B101,U.S. Senate,,DEM,Alison Lundergan GRIMES,84
Monroe,B102,U.S. Senate,,DEM,Alison Lundergan GRIMES,118
Monroe,C101,U.S. Senate,,DEM,Alison Lundergan GRIMES,79
Monroe,C102,U.S. Senate,,DEM,Alison Lundergan GRIMES,49
Monroe,C103,U.S. Senate,,DEM,Alison Lundergan GRIMES,84
Monroe,D101,U.S. Senate,,DEM,Alison Lundergan GRIMES,63
Monroe,D102,U.S. Senate,,DEM,Alison Lundergan GRIMES,93
Monroe,E101,U.S. Senate,,DEM,Alison Lundergan GRIMES,101
Monroe,E102,U.S. Senate,,DEM,Alison Lundergan GRIMES,103
Monroe,AB,U.S. Senate,,LIB,David M. PATTERSON,8
Monroe,A101,U.S. Senate,,LIB,David M. PATTERSON,10
Monroe,A102,U.S. Senate,,LIB,David M. PATTERSON,25
Monroe,A103,U.S. Senate,,LIB,David M. PATTERSON,8
Monroe,B101,U.S. Senate,,LIB,David M. PATTERSON,15
Monroe,B102,U.S. Senate,,LIB,David M. PATTERSON,20
Monroe,C101,U.S. Senate,,LIB,David M. PATTERSON,23
Monroe,C102,U.S. Senate,,LIB,David M. PATTERSON,9
Monroe,C103,U.S. Senate,,LIB,David M. PATTERSON,9
Monroe,D101,U.S. Senate,,LIB,David M. PATTERSON,16
Monroe,D102,U.S. Senate,,LIB,David M. PATTERSON,21
Monroe,E101,U.S. Senate,,LIB,David M. PATTERSON,16
Monroe,E102,U.S. Senate,,LIB,David M. PATTERSON,9
Monroe,AB,US Representative, 1st Congressional District,REP,Ed WHITFIELD,231
Monroe,A101,US Representative, 1st Congressional District,REP,Ed WHITFIELD,116
Monroe,A102,US Representative, 1st Congressional District,REP,Ed WHITFIELD,505
Monroe,A103,US Representative, 1st Congressional District,REP,Ed WHITFIELD,82
Monroe,B101,US Representative, 1st Congressional District,REP,Ed WHITFIELD,395
Monroe,B102,US Representative, 1st Congressional District,REP,Ed WHITFIELD,274
Monroe,C101,US Representative, 1st Congressional District,REP,Ed WHITFIELD,388
Monroe,C102,US Representative, 1st Congressional District,REP,Ed WHITFIELD,158
Monroe,C103,US Representative, 1st Congressional District,REP,Ed WHITFIELD,308
Monroe,D101,US Representative, 1st Congressional District,REP,Ed WHITFIELD,294
Monroe,D102,US Representative, 1st Congressional District,REP,Ed WHITFIELD,379
Monroe,E101,US Representative, 1st Congressional District,REP,Ed WHITFIELD,331
Monroe,E102,US Representative, 1st Congressional District,REP,Ed WHITFIELD,414
Monroe,AB,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,34
Monroe,A101,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,26
Monroe,A102,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,58
Monroe,A103,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,16
Monroe,B101,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,48
Monroe,B102,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,68
Monroe,C101,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,45
Monroe,C102,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,31
Monroe,C103,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,52
Monroe,D101,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,39
Monroe,D102,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,59
Monroe,E101,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,67
Monroe,E102,US Representative, 1st Congressional District,DEM,Charles Kendall HATCHETT,42
Monroe,AB,State Representative, 21st Representative District,REP,Bart ROWLAND,226
Monroe,A101,State Representative, 21st Representative District,REP,Bart ROWLAND,134
Monroe,A102,State Representative, 21st Representative District,REP,Bart ROWLAND,538
Monroe,A103,State Representative, 21st Representative District,REP,Bart ROWLAND,94
Monroe,B101,State Representative, 21st Representative District,REP,Bart ROWLAND,409
Monroe,B102,State Representative, 21st Representative District,REP,Bart ROWLAND,316
Monroe,C101,State Representative, 21st Representative District,REP,Bart ROWLAND,405
Monroe,C102,State Representative, 21st Representative District,REP,Bart ROWLAND,172
Monroe,C103,State Representative, 21st Representative District,REP,Bart ROWLAND,316
Monroe,D101,State Representative, 21st Representative District,REP,Bart ROWLAND,311
Monroe,D102,State Representative, 21st Representative District,REP,Bart ROWLAND,407
Monroe,E101,State Representative, 21st Representative District,REP,Bart ROWLAND,348
Monroe,E102,State Representative, 21st Representative District,REP,Bart ROWLAND,443
Monroe,AB,State Representative, 21st Representative District,DEM,Joe CHOATE,39
Monroe,A101,State Representative, 21st Representative District,DEM,Joe CHOATE,17
Monroe,A102,State Representative, 21st Representative District,DEM,Joe CHOATE,54
Monroe,A103,State Representative, 21st Representative District,DEM,Joe CHOATE,10
Monroe,B101,State Representative, 21st Representative District,DEM,Joe CHOATE,49
Monroe,B102,State Representative, 21st Representative District,DEM,Joe CHOATE,47
Monroe,C101,State Representative, 21st Representative District,DEM,Joe CHOATE,49
Monroe,C102,State Representative, 21st Representative District,DEM,Joe CHOATE,29
Monroe,C103,State Representative, 21st Representative District,DEM,Joe CHOATE,66
Monroe,D101,State Representative, 21st Representative District,DEM,Joe CHOATE,45
Monroe,D102,State Representative, 21st Representative District,DEM,Joe CHOATE,56
Monroe,E101,State Representative, 21st Representative District,DEM,Joe CHOATE,61
Monroe,E102,State Representative, 21st Representative District,DEM,Joe CHOATE,37
Monroe,AB,PROPERTY VALUATION ADMINISTRATOR,,REP,Louis Lee CARTER,242
Monroe,A101,PROPERTY VALUATION ADMINISTRATOR,,REP,Louis Lee CARTER,132
Monroe,A102,PROPERTY VALUATION ADMINISTRATOR,,REP,Louis Lee CARTER,512
