county,precinct,office,district,party,candidate,votes
Green,AB,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,36
Green,A101,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,86
Green,A102,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,79
Green,A103,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,106
Green,A104,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,87
Green,B101,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,133
Green,B102,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,75
Green,C101,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,76
Green,C102,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,61
Green,D101,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,86
Green,D102,Governor and Lieutenant Governor,,,James R. COMER / Chris McDANIEL,91
Green,AB,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,4
Green,A101,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,6
Green,A102,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,4
Green,A103,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,18
Green,A104,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,11
Green,B101,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,15
Green,B102,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,20
Green,C101,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,23
Green,C102,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,10
Green,D101,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,9
Green,D102,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,5
Green,AB,Governor and Lieutenant Governor,,,Will T. SCOTT / Rodney COFFEY,0
Green,A101,Governor and Lieutenant Governor,,,Will T. SCOTT / Rodney COFFEY,7
Green,A102,Governor and Lieutenant Governor,,,Will T. SCOTT / Rodney COFFEY,1
