county,precinct,office,district,party,candidate,votes
Jefferson,A105,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,33
Jefferson,A107,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,16
Jefferson,A108,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,30
Jefferson,A111,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,20
Jefferson,A113,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,29
Jefferson,A114,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,27
Jefferson,A115,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,30
Jefferson,A118,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,13
Jefferson,A119,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,34
Jefferson,A121,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,31
Jefferson,A123,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,47
Jefferson,A124,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,51
Jefferson,A125,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,59
Jefferson,A126,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,A127,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,21
Jefferson,A128,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,34
Jefferson,A129,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,33
Jefferson,A130,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,17
Jefferson,A131,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,43
Jefferson,A134,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,14
Jefferson,A135,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,14
Jefferson,A136,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,17
Jefferson,A139,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,16
Jefferson,A140,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,36
Jefferson,A141,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,A142,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,8
Jefferson,A143,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,1
Jefferson,B124,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,31
Jefferson,B132,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,85
Jefferson,B133,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,84
Jefferson,B134,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,80
Jefferson,B149,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,50
Jefferson,B151,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,72
Jefferson,B153,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,9
Jefferson,B154,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,B155,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,20
Jefferson,B156,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,41
Jefferson,B157,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,79
Jefferson,B158,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,104
Jefferson,B159,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,91
Jefferson,B160,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,35
Jefferson,B161,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,3
Jefferson,B162,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,80
Jefferson,B163,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,43
Jefferson,B166,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,43
Jefferson,B168,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,71
Jefferson,B169,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,41
Jefferson,B170,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,33
Jefferson,B172,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,69
Jefferson,B173,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,43
Jefferson,B175,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,55
Jefferson,B177,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,49
Jefferson,B181,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,6
Jefferson,B182,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,38
Jefferson,B183,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,116
Jefferson,B184,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,2
Jefferson,B185,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,14
Jefferson,C101,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,11
Jefferson,C102,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,12
Jefferson,C103,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,10
Jefferson,C104,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,8
Jefferson,C105,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,C106,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,11
Jefferson,C108,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,6
Jefferson,C109,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,C110,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,1
Jefferson,C111,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,2
Jefferson,C113,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,8
Jefferson,C115,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,21
Jefferson,C122,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,18
Jefferson,C123,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,18
Jefferson,C124,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,38
Jefferson,C125,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,14
Jefferson,C126,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,9
Jefferson,C128,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,12
Jefferson,C129,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,29
Jefferson,C130,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,1
Jefferson,C131,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,17
Jefferson,C133,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,49
Jefferson,C134,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,16
Jefferson,C135,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,38
Jefferson,C136,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,22
Jefferson,C137,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,20
Jefferson,C138,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,24
Jefferson,C139,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,C141,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,10
Jefferson,C142,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,7
Jefferson,C143,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,1
Jefferson,C144,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,11
Jefferson,C145,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,3
Jefferson,C146,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,C147,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,C148,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,2
Jefferson,C149,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,C150,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,4
Jefferson,C151,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,0
Jefferson,D101,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,21
Jefferson,D104,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,36
Jefferson,D106,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,36
Jefferson,D108,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,41
Jefferson,D109,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,24
Jefferson,D110,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,25
Jefferson,D113,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,15
Jefferson,D114,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,40
Jefferson,D115,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,57
Jefferson,D116,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,D117,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,47
Jefferson,D120,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,D121,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,26
Jefferson,D122,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,39
Jefferson,D126,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,58
Jefferson,D129,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,18
Jefferson,D130,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,33
Jefferson,D131,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,24
Jefferson,D132,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,73
Jefferson,D135,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,21
Jefferson,D136,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,71
Jefferson,D137,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,56
Jefferson,D138,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,40
Jefferson,D139,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,39
Jefferson,D140,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,51
Jefferson,D141,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,57
Jefferson,D142,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,50
Jefferson,D144,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,23
Jefferson,D145,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,18
Jefferson,E139,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,11
Jefferson,E141,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,24
Jefferson,E142,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,41
Jefferson,E143,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,22
Jefferson,E144,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,27
Jefferson,E145,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,E148,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,103
Jefferson,E152,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,105
Jefferson,E154,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,65
Jefferson,E155,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,E157,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,15
Jefferson,E158,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,48
Jefferson,E159,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,27
Jefferson,E160,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,42
Jefferson,E161,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,67
Jefferson,E162,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,7
Jefferson,E163,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,134
Jefferson,E164,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,106
Jefferson,E165,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,54
Jefferson,E166,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,43
Jefferson,E167,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,21
Jefferson,E168,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,45
Jefferson,E169,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,130
Jefferson,E171,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,32
Jefferson,E173,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,18
Jefferson,E175,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,40
Jefferson,E176,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,13
Jefferson,E177,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,17
Jefferson,E178,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,61
Jefferson,E179,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,92
Jefferson,E180,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,58
Jefferson,E181,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,63
Jefferson,E182,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,106
Jefferson,E183,Governor and Lieutenant Governor,,,Hal HEINER / K.C. CROSBIE,55
