county,precinct,office,district,party,candidate,absentee_mail,absentee_walk_in,escan,votes
Trimble,Absentee,U.S. House,4,REP,Thomas Massie,25,100,,125
Trimble,Absentee,U.S. House,4,DEM,Seth Hall,15,34,,49
Trimble,Absentee,U.S. House,4,LIB,Mike Moffett,1,0,,1
Trimble,Absentee,State Senate,20,REP,Paul R. Hornback,24,102,,126
Trimble,Absentee,State Senate,20,DEM,Dave Suetholz,18,37,,55
Trimble,Absentee,State Representative,47,REP,Mark A. Gilkison,13,71,,84
Trimble,Absentee,State Representative,47,DEM,Rick W. Rand,29,68,,97
Trimble,West Milton,U.S. House,4,REP,Thomas Massie,,,124,124
Trimble,West Milton,U.S. House,4,DEM,Seth Hall,,,74,74
Trimble,West Milton,U.S. House,4,LIB,Mike Moffett,,,1,1
Trimble,West Milton,State Senate,20,REP,Paul R. Hornback,,,125,125
Trimble,West Milton,State Senate,20,DEM,Dave Suetholz,,,77,77
Trimble,West Milton,State Representative,47,REP,Mark A. Gilkison,,,81,81
Trimble,West Milton,State Representative,47,DEM,Rick W. Rand,,,123,123
Trimble,North Milton,U.S. House,4,REP,Thomas Massie,,,124,124
Trimble,North Milton,U.S. House,4,DEM,Seth Hall,,,63,63
Trimble,North Milton,U.S. House,4,LIB,Mike Moffett,,,5,5
Trimble,North Milton,State Senate,20,REP,Paul R. Hornback,,,135,135
Trimble,North Milton,State Senate,20,DEM,Dave Suetholz,,,60,60
Trimble,North Milton,State Representative,47,REP,Mark A. Gilkison,,,88,88
Trimble,North Milton,State Representative,47,DEM,Rick W. Rand,,,111,111
Trimble,Leeport,U.S. House,4,REP,Thomas Massie,,,214,214
Trimble,Leeport,U.S. House,4,DEM,Seth Hall,,,98,98
Trimble,Leeport,U.S. House,4,LIB,Mike Moffett,,,6,6
Trimble,Leeport,State Senate,20,REP,Paul R. Hornback,,,200,200
Trimble,Leeport,State Senate,20,DEM,Dave Suetholz,,,127,127
Trimble,Leeport,State Representative,47,REP,Mark A. Gilkison,,,143,143
Trimble,Leeport,State Representative,47,DEM,Rick W. Rand,,,187,187
Trimble,South Bedford,U.S. House,4,REP,Thomas Massie,,,105,105
Trimble,South Bedford,U.S. House,4,DEM,Seth Hall,,,82,82
Trimble,South Bedford,U.S. House,4,LIB,Mike Moffett,,,10,10
Trimble,South Bedford,State Senate,20,REP,Paul R. Hornback,,,105,105
Trimble,South Bedford,State Senate,20,DEM,Dave Suetholz,,,94,94
Trimble,South Bedford,State Representative,47,REP,Mark A. Gilkison,,,70,70
Trimble,South Bedford,State Representative,47,DEM,Rick W. Rand,,,132,132
Trimble,Burrows,U.S. House,4,REP,Thomas Massie,,,183,183
Trimble,Burrows,U.S. House,4,DEM,Seth Hall,,,108,108
Trimble,Burrows,U.S. House,4,LIB,Mike Moffett,,,7,7
