county,precinct,office,district,party,candidate,votes,election_day
Clay,A101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,30,30
Clay,A106,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,50,50
Clay,A107,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,20,20
Clay,B101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,30,30
Clay,B103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,22,22
Clay,B104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,88,88
Clay,C101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,18,18
Clay,C102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,26,26
Clay,C103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,24,24
Clay,C104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,38,38
Clay,D102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,14,14
Clay,D103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,25,25
Clay,D104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,16,16
Clay,E101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,23,23
Clay,E102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,22,22
Clay,E103,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,63,63
Clay,E104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,5,5
Clay,F101,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,38,38
Clay,F102,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,45,45
Clay,F104,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,32,32
Clay,ABSENTEE MACHINE,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,13,13
Clay,ABSENTEE PAPER,Governor and Lieutenant Governor,,,Matthew G. BEVIN / Ralph A. ALVARADO,6,6
Clay,A101,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,112,112
Clay,A106,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,134,134
Clay,A107,Governor and Lieutenant Governor,,,Robert GOFORTH / Michael T. HOGAN,44,44
