county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Wayne,A101,STRAIGHT PARTY,,,Republican,44,15,28,1
Wayne,A101,STRAIGHT PARTY,,,Democratic,27,5,18,4
Wayne,A101,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",72,18,51,3
Wayne,A101,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,80,16,51,13
Wayne,A101,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,A101,Governor,,,Total Votes,152,34,102,16
Wayne,A101,Governor,,,Under Votes,2,0,1,1
Wayne,A101,Governor,,,Over Votes,0,0,0,0
Wayne,A101,Secretary of State,,REP,Michael ADAMS,98,22,68,8
Wayne,A101,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",51,11,31,9
Wayne,A101,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A101,Secretary of State,,,Total Votes,149,33,99,17
Wayne,A101,Secretary of State,,,Under Votes,5,1,4,0
Wayne,A101,Secretary of State,,,Over Votes,0,0,0,0
Wayne,A101,Attorney General,,REP,Russell COLEMAN,95,22,65,8
Wayne,A101,Attorney General,,DEM,Pamela STEVENSON,53,11,33,9
Wayne,A101,Attorney General,,,Total Votes,148,33,98,17
Wayne,A101,Attorney General,,,Under Votes,6,1,5,0
Wayne,A101,Attorney General,,,Over Votes,0,0,0,0
Wayne,A101,Auditor of Public Accounts,,REP,Allison BALL,106,22,75,9
Wayne,A101,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",44,11,25,8
Wayne,A101,Auditor of Public Accounts,,,Total Votes,150,33,100,17
Wayne,A101,Auditor of Public Accounts,,,Under Votes,4,1,3,0
Wayne,A101,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,A101,State Treasurer,,REP,Mark H. METCALF,95,22,65,8
Wayne,A101,State Treasurer,,DEM,Michael BOWMAN,54,10,35,9
Wayne,A101,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,A101,State Treasurer,,,Total Votes,149,32,100,17
Wayne,A101,State Treasurer,,,Under Votes,5,2,3,0
Wayne,A101,State Treasurer,,,Over Votes,0,0,0,0
Wayne,A101,Commissioner of Agriculture,,REP,Jonathan SHELL,91,22,63,6
Wayne,A101,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,57,10,36,11
Wayne,A101,Commissioner of Agriculture,,,Total Votes,148,32,99,17
Wayne,A101,Commissioner of Agriculture,,,Under Votes,6,2,4,0
Wayne,A101,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,A102,STRAIGHT PARTY,,,Republican,39,3,34,2
Wayne,A102,STRAIGHT PARTY,,,Democratic,25,10,13,2
Wayne,A102,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",48,6,39,3
Wayne,A102,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,55,14,37,4
Wayne,A102,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,A102,Governor,,,Total Votes,103,20,76,7
Wayne,A102,Governor,,,Under Votes,0,0,0,0
Wayne,A102,Governor,,,Over Votes,0,0,0,0
Wayne,A102,Secretary of State,,REP,Michael ADAMS,69,9,56,4
Wayne,A102,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",30,11,16,3
Wayne,A102,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A102,Secretary of State,,,Total Votes,99,20,72,7
Wayne,A102,Secretary of State,,,Under Votes,4,0,4,0
Wayne,A102,Secretary of State,,,Over Votes,0,0,0,0
Wayne,A102,Attorney General,,REP,Russell COLEMAN,64,8,52,4
Wayne,A102,Attorney General,,DEM,Pamela STEVENSON,36,12,21,3
Wayne,A102,Attorney General,,,Total Votes,100,20,73,7
Wayne,A102,Attorney General,,,Under Votes,3,0,3,0
Wayne,A102,Attorney General,,,Over Votes,0,0,0,0
Wayne,A102,Auditor of Public Accounts,,REP,Allison BALL,66,7,55,4
Wayne,A102,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",33,13,17,3
Wayne,A102,Auditor of Public Accounts,,,Total Votes,99,20,72,7
Wayne,A102,Auditor of Public Accounts,,,Under Votes,4,0,4,0
Wayne,A102,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,A102,State Treasurer,,REP,Mark H. METCALF,62,5,53,4
Wayne,A102,State Treasurer,,DEM,Michael BOWMAN,38,15,20,3
Wayne,A102,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,A102,State Treasurer,,,Total Votes,100,20,73,7
Wayne,A102,State Treasurer,,,Under Votes,3,0,3,0
Wayne,A102,State Treasurer,,,Over Votes,0,0,0,0
Wayne,A102,Commissioner of Agriculture,,REP,Jonathan SHELL,64,7,54,3
Wayne,A102,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,35,13,18,4
Wayne,A102,Commissioner of Agriculture,,,Total Votes,99,20,72,7
Wayne,A102,Commissioner of Agriculture,,,Under Votes,4,0,4,0
Wayne,A102,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,A103,STRAIGHT PARTY,,,Republican,172,27,140,5
Wayne,A103,STRAIGHT PARTY,,,Democratic,46,10,32,4
Wayne,A103,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",252,41,206,5
Wayne,A103,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,146,20,118,8
Wayne,A103,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,A103,Governor,,,Total Votes,398,61,324,13
Wayne,A103,Governor,,,Under Votes,0,0,0,0
Wayne,A103,Governor,,,Over Votes,0,0,0,0
Wayne,A103,Secretary of State,,REP,Michael ADAMS,292,44,241,7
Wayne,A103,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",84,12,66,6
Wayne,A103,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A103,Secretary of State,,,Total Votes,376,56,307,13
Wayne,A103,Secretary of State,,,Under Votes,22,5,17,0
Wayne,A103,Secretary of State,,,Over Votes,0,0,0,0
Wayne,A103,Attorney General,,REP,Russell COLEMAN,285,43,235,7
Wayne,A103,Attorney General,,DEM,Pamela STEVENSON,91,14,71,6
Wayne,A103,Attorney General,,,Total Votes,376,57,306,13
Wayne,A103,Attorney General,,,Under Votes,22,4,18,0
Wayne,A103,Attorney General,,,Over Votes,0,0,0,0
Wayne,A103,Auditor of Public Accounts,,REP,Allison BALL,290,42,241,7
Wayne,A103,Auditor of Public Accounts,,DEM,"Kimberley ""Kim"" REEDER",84,15,63,6
Wayne,A103,Auditor of Public Accounts,,,Total Votes,374,57,304,13
Wayne,A103,Auditor of Public Accounts,,,Under Votes,24,4,20,0
Wayne,A103,Auditor of Public Accounts,,,Over Votes,0,0,0,0
Wayne,A103,State Treasurer,,REP,Mark H. METCALF,276,40,230,6
Wayne,A103,State Treasurer,,DEM,Michael BOWMAN,95,17,71,7
Wayne,A103,State Treasurer,,,Robert Perry,0,0,0,0
Wayne,A103,State Treasurer,,,Total Votes,371,57,301,13
Wayne,A103,State Treasurer,,,Under Votes,27,4,23,0
Wayne,A103,State Treasurer,,,Over Votes,0,0,0,0
Wayne,A103,Commissioner of Agriculture,,REP,Jonathan SHELL,296,44,245,7
Wayne,A103,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,79,13,60,6
Wayne,A103,Commissioner of Agriculture,,,Total Votes,375,57,305,13
Wayne,A103,Commissioner of Agriculture,,,Under Votes,23,4,19,0
Wayne,A103,Commissioner of Agriculture,,,Over Votes,0,0,0,0
Wayne,A106,STRAIGHT PARTY,,,Republican,58,18,33,7
Wayne,A106,STRAIGHT PARTY,,,Democratic,20,5,12,3
Wayne,A106,Governor,,REP,"Daniel CAMERON / Robert M. ""Robby"" MILLS",92,21,60,11
Wayne,A106,Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,72,28,38,6
Wayne,A106,Governor,,,Brian Fishback / William Fishback,0,0,0,0
Wayne,A106,Governor,,,Total Votes,164,49,98,17
Wayne,A106,Governor,,,Under Votes,3,2,1,0
Wayne,A106,Governor,,,Over Votes,0,0,0,0
Wayne,A106,Secretary of State,,REP,Michael ADAMS,123,38,75,10
Wayne,A106,Secretary of State,,DEM,"Charles ""Buddy"" WHEATLEY",33,9,20,4
Wayne,A106,Secretary of State,,,Kenneth C. Moellman Jr.,0,0,0,0
Wayne,A106,Secretary of State,,,Total Votes,156,47,95,14
Wayne,A106,Secretary of State,,,Under Votes,11,4,4,3
