county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Mccracken,A102,Governor,,REP,Daniel CAMERON,7,2,5,0
Mccracken,A102,Governor,,REP,Jacob CLARK,0,0,0,0
Mccracken,A102,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A102,Governor,,REP,Kelly CRAFT,3,1,2,0
Mccracken,A102,Governor,,REP,Eric DETERS,2,0,2,0
Mccracken,A102,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A102,Governor,,REP,Mike HARMON,0,0,0,0
Mccracken,A102,Governor,,REP,Alan KECK,1,0,0,1
Mccracken,A102,Governor,,REP,Dennis Ray ORMEROD,1,0,1,0
Mccracken,A102,Governor,,REP,Ryan QUARLES,5,0,5,0
Mccracken,A102,Governor,,REP,Johnny Ray RICE,0,0,0,0
Mccracken,A102,Governor,,REP,Robbie C. SMITH,1,0,1,0
Mccracken,A102,Governor,,REP,Total Votes Cast,20,3,16,1
Mccracken,A102,Governor,,REP,Under Votes,0,0,0,0
Mccracken,A102,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A102,Secretary of State,,REP,Michael ADAMS,11,3,7,1
Mccracken,A102,Secretary of State,,REP,Stephen L. KNIPPER,8,0,8,0
Mccracken,A102,Secretary of State,,REP,Allen MARICLE,1,0,1,0
Mccracken,A102,Secretary of State,,REP,Total Votes Cast,20,3,16,1
Mccracken,A102,Secretary of State,,REP,Under Votes,0,0,0,0
Mccracken,A102,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A102,Auditor of Public Accounts,,REP,Allison BALL,14,2,11,1
Mccracken,A102,Auditor of Public Accounts,,REP,Derek PETTEYS,4,1,3,0
Mccracken,A102,Auditor of Public Accounts,,REP,Total Votes Cast,18,3,14,1
Mccracken,A102,Auditor of Public Accounts,,REP,Under Votes,2,0,2,0
Mccracken,A102,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A102,State Treasurer,,REP,Andrew COOPERRIDER,4,1,3,0
Mccracken,A102,State Treasurer,,REP,Mark H. METCALF,7,0,7,0
Mccracken,A102,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",5,0,4,1
Mccracken,A102,State Treasurer,,REP,Total Votes Cast,16,1,14,1
Mccracken,A102,State Treasurer,,REP,Under Votes,4,2,2,0
Mccracken,A102,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A102,Commissioner of Agriculture,,REP,Richard HEATH,14,2,11,1
Mccracken,A102,Commissioner of Agriculture,,REP,Jonathan SHELL,3,0,3,0
Mccracken,A102,Commissioner of Agriculture,,REP,Total Votes Cast,17,2,14,1
Mccracken,A102,Commissioner of Agriculture,,REP,Under Votes,3,1,2,0
Mccracken,A102,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A102,Governor,,DEM,Andy BESHEAR,55,7,44,4
Mccracken,A102,Governor,,DEM,Peppy MARTIN,0,0,0,0
Mccracken,A102,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",0,0,0,0
Mccracken,A102,Governor,,DEM,Total Votes Cast,55,7,44,4
Mccracken,A102,Governor,,DEM,Under Votes,0,0,0,0
Mccracken,A102,Governor,,DEM,Over Votes,0,0,0,0
Mccracken,A102,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,40,6,30,4
Mccracken,A102,Commissioner of Agriculture,,DEM,Mikael MALONE,11,1,10,0
Mccracken,A102,Commissioner of Agriculture,,DEM,Total Votes Cast,51,7,40,4
Mccracken,A102,Commissioner of Agriculture,,DEM,Under Votes,4,0,4,0
Mccracken,A102,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A104,Governor,,REP,Daniel CAMERON,5,0,5,0
Mccracken,A104,Governor,,REP,Jacob CLARK,0,0,0,0
Mccracken,A104,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A104,Governor,,REP,Kelly CRAFT,1,0,1,0
Mccracken,A104,Governor,,REP,Eric DETERS,2,0,2,0
Mccracken,A104,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A104,Governor,,REP,Mike HARMON,0,0,0,0
Mccracken,A104,Governor,,REP,Alan KECK,1,0,1,0
Mccracken,A104,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Mccracken,A104,Governor,,REP,Ryan QUARLES,2,0,2,0
Mccracken,A104,Governor,,REP,Johnny Ray RICE,0,0,0,0
Mccracken,A104,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A104,Governor,,REP,Total Votes Cast,11,0,11,0
Mccracken,A104,Governor,,REP,Under Votes,0,0,0,0
Mccracken,A104,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A104,Secretary of State,,REP,Michael ADAMS,6,0,6,0
Mccracken,A104,Secretary of State,,REP,Stephen L. KNIPPER,0,0,0,0
Mccracken,A104,Secretary of State,,REP,Allen MARICLE,3,0,3,0
Mccracken,A104,Secretary of State,,REP,Total Votes Cast,9,0,9,0
Mccracken,A104,Secretary of State,,REP,Under Votes,2,0,2,0
Mccracken,A104,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A104,Auditor of Public Accounts,,REP,Allison BALL,6,0,6,0
Mccracken,A104,Auditor of Public Accounts,,REP,Derek PETTEYS,2,0,2,0
Mccracken,A104,Auditor of Public Accounts,,REP,Total Votes Cast,8,0,8,0
Mccracken,A104,Auditor of Public Accounts,,REP,Under Votes,3,0,3,0
Mccracken,A104,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A104,State Treasurer,,REP,Andrew COOPERRIDER,5,0,5,0
Mccracken,A104,State Treasurer,,REP,Mark H. METCALF,2,0,2,0
Mccracken,A104,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",2,0,2,0
Mccracken,A104,State Treasurer,,REP,Total Votes Cast,9,0,9,0
Mccracken,A104,State Treasurer,,REP,Under Votes,2,0,2,0
Mccracken,A104,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A104,Commissioner of Agriculture,,REP,Richard HEATH,6,0,6,0
