county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Harlan,A101,STRAIGHT PARTY,,REP,Republican Party,203,74,116,13
Harlan,A101,STRAIGHT PARTY,,DEM,Democratic Party,65,25,36,4
Harlan,A101,STRAIGHT PARTY,,KY,Kentucky Party,2,1,1,0
Harlan,A101,STRAIGHT PARTY,,LIB,Libertarian Party,3,0,3,0
Harlan,A101,STRAIGHT PARTY,,,Total Votes,273,100,156,17
Harlan,A101,STRAIGHT PARTY,,,Under Votes,398,172,190,36
Harlan,A101,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Harlan,A101,President,,REP,Donald J. TRUMP / JD VANCE,507,202,273,32
Harlan,A101,President,,DEM,Kamala D. HARRIS / Tim WALZ,151,66,66,19
Harlan,A101,President,,KY,Jill  STEIN / Samson KPADENOU,1,1,0,0
Harlan,A101,President,,IND,Robert F. KENNEDY JR. / Nicole SHANAHAN,7,1,5,1
Harlan,A101,President,,IND,Shiva AYYADURAI / Crystal ELLIS,0,0,0,0
Harlan,A101,President,,LIB,Chase OLIVER / Mike TER MAAT,1,0,1,0
Harlan,A101,President,,,Write In Total,1,1,0,0
Harlan,A101,President,,,Total Votes,668,271,345,52
Harlan,A101,President,,,Under Votes,3,1,1,1
Harlan,A101,President,,,Over Votes,0,0,0,0
Harlan,A101,U.S. House,5,REP,Hal ROGERS,545,209,293,43
Harlan,A101,U.S. House,5,,Total Votes,545,209,293,43
Harlan,A101,U.S. House,5,,Under Votes,125,63,52,10
Harlan,A101,U.S. House,5,,Over Votes,1,0,1,0
Harlan,A101,State Senate,29,REP,Johnnie L. TURNER,177,44,96,37
Harlan,A101,State Senate,29,IND,David SUHR,81,26,49,6
Harlan,A101,State Senate,29,,Write In Total,251,126,122,3
Harlan,A101,State Senate,29,,Total Votes,509,196,267,46
Harlan,A101,State Senate,29,,Under Votes,162,76,79,7
Harlan,A101,State Senate,29,,Over Votes,0,0,0,0
Harlan,A101,State House,87,REP,Adam BOWLING,518,202,276,40
Harlan,A101,State House,87,,Total Votes,518,202,276,40
Harlan,A101,State House,87,,Under Votes,153,70,70,13
Harlan,A101,State House,87,,Over Votes,0,0,0,0
