county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Green,A101,President,,REP,Ryan L. BINKLEY,0,0,0,0
Green,A101,President,,REP,Vivek RAMASWAMY,1,1,0,0
Green,A101,President,,REP,Ron DeSANTIS,2,1,1,0
Green,A101,President,,REP,Donald J. TRUMP,111,30,76,5
Green,A101,President,,REP,Chris CHRISTIE,5,4,1,0
Green,A101,President,,REP,Nikki R. HALEY,4,2,2,0
Green,A101,President,,REP,UNCOMMITTED,4,2,1,1
Green,A101,President,,REP,Total Votes,127,40,81,6
Green,A101,President,,REP,Under Votes,4,2,1,1
Green,A101,President,,REP,Over Votes,0,0,0,0
Green,A101,State House,24,REP,Ryan BIVENS,109,31,71,7
Green,A101,State House,24,REP,Asa L.T. WAGGONER,17,10,7,0
Green,A101,State House,24,REP,Total Votes,126,41,78,7
Green,A101,State House,24,REP,Under Votes,5,1,4,0
Green,A101,State House,24,REP,Over Votes,0,0,0,0
Green,A101,President,,DEM,Joseph R. BIDEN JR.,17,6,10,1
Green,A101,President,,DEM,Marianne WILLIAMSON,1,0,1,0
Green,A101,President,,DEM,Dean PHILLIPS,1,0,1,0
Green,A101,President,,DEM,UNCOMMITTED,0,0,0,0
Green,A101,President,,DEM,Total Votes,19,6,12,1
Green,A101,President,,DEM,Under Votes,0,0,0,0
Green,A101,President,,DEM,Over Votes,0,0,0,0
Green,A101,U.S. House,2,DEM,Hank LINDERMAN,7,0,6,1
Green,A101,U.S. House,2,DEM,William Dakota COMPTON,8,3,5,0
Green,A101,U.S. House,2,DEM,Total Votes,15,3,11,1
Green,A101,U.S. House,2,DEM,Under Votes,4,3,1,0
Green,A101,U.S. House,2,DEM,Over Votes,0,0,0,0
Green,A102,President,,REP,Ryan L. BINKLEY,1,0,1,0
Green,A102,President,,REP,Vivek RAMASWAMY,0,0,0,0
Green,A102,President,,REP,Ron DeSANTIS,1,0,0,1
Green,A102,President,,REP,Donald J. TRUMP,40,13,27,0
Green,A102,President,,REP,Chris CHRISTIE,1,0,1,0
Green,A102,President,,REP,Nikki R. HALEY,0,0,0,0
Green,A102,President,,REP,UNCOMMITTED,2,1,1,0
Green,A102,President,,REP,Total Votes,45,14,30,1
Green,A102,President,,REP,Under Votes,0,0,0,0
Green,A102,President,,REP,Over Votes,0,0,0,0
Green,A102,State House,24,REP,Ryan BIVENS,44,14,29,1
Green,A102,State House,24,REP,Asa L.T. WAGGONER,0,0,0,0
Green,A102,State House,24,REP,Total Votes,44,14,29,1
Green,A102,State House,24,REP,Under Votes,1,0,1,0
Green,A102,State House,24,REP,Over Votes,0,0,0,0
Green,A102,President,,DEM,Joseph R. BIDEN JR.,7,0,7,0
Green,A102,President,,DEM,Marianne WILLIAMSON,1,0,1,0
Green,A102,President,,DEM,Dean PHILLIPS,1,0,1,0
Green,A102,President,,DEM,UNCOMMITTED,4,0,4,0
Green,A102,President,,DEM,Total Votes,13,0,13,0
Green,A102,President,,DEM,Under Votes,0,0,0,0
Green,A102,President,,DEM,Over Votes,0,0,0,0
Green,A102,U.S. House,2,DEM,Hank LINDERMAN,7,0,7,0
Green,A102,U.S. House,2,DEM,William Dakota COMPTON,6,0,6,0
Green,A102,U.S. House,2,DEM,Total Votes,13,0,13,0
Green,A102,U.S. House,2,DEM,Under Votes,0,0,0,0
Green,A102,U.S. House,2,DEM,Over Votes,0,0,0,0
Green,A103,President,,REP,Ryan L. BINKLEY,1,0,1,0
Green,A103,President,,REP,Vivek RAMASWAMY,1,0,1,0
Green,A103,President,,REP,Ron DeSANTIS,3,0,3,0
Green,A103,President,,REP,Donald J. TRUMP,162,39,114,9
Green,A103,President,,REP,Chris CHRISTIE,0,0,0,0
