county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee
Leslie,A101,U.S. Senate,,Republican,Daniel CAMERON,20,1,19,0,
Leslie,A101,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,
Leslie,A101,U.S. Senate,,Republican,Andy BARR,86,4,76,6,
Leslie,A101,U.S. Senate,,Republican,Nate MORRIS,7,0,6,1,
Leslie,A101,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",2,0,2,0,
Leslie,A101,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,
Leslie,A101,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,
Leslie,A101,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,
Leslie,A101,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,
Leslie,A101,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,
Leslie,A101,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,
Leslie,A101,U.S. Senate,,Republican,George WASHINGTON,2,0,2,0,
Leslie,A101,U.S. House,5,Republican,Kevin SMITH,10,0,10,0,
Leslie,A101,U.S. House,5,Republican,Benjamin HURLEY,2,0,2,0,
Leslie,A101,U.S. House,5,Republican,Hal ROGERS,107,6,93,8,
Leslie,A101,U.S. House,5,Republican,Jerry Lee SHELTON,1,0,1,0,
Leslie,A101,U.S. House,5,Republican,Brandon R. MONHOLLEN,0,0,0,0,
Leslie,A101,State Senate,30,Republican,Brandon D. SMITH,90,6,79,5,
Leslie,A101,State Senate,30,Republican,Billy WESLEY,13,0,11,2,
Leslie,A101,Sheriff,,Republican,Chris ASHER,14,0,11,3,
Leslie,A101,Sheriff,,Republican,Billy Michael COLLETT,113,6,102,5,
Leslie,A101,Sheriff,,Republican,Lloyd POWERS,2,0,2,0,
Leslie,A101,Sheriff,,Republican,Homer David SMITH,1,0,1,0,
Leslie,A101,Magistrate District 1,1,Republican,Daniel SIZEMORE,25,4,21,0,
Leslie,A101,Magistrate District 1,1,Republican,Russell D. BROCK,109,2,99,8,
Leslie,A101,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,
Leslie,A101,U.S. Senate,,Democratic,Amy McGRATH,1,0,1,0,
Leslie,A101,U.S. Senate,,Democratic,Dale Lewis ROMANS,0,0,0,0,
Leslie,A101,U.S. Senate,,Democratic,Charles BOOKER,0,0,0,0,
Leslie,A101,U.S. Senate,,Democratic,Pamela STEVENSON,1,1,0,0,
Leslie,A101,U.S. Senate,,Democratic,Joshua BLANTON SR.,0,0,0,0,
Leslie,A101,U.S. Senate,,Democratic,Logan FORSYTHE,0,0,0,0,
Leslie,A102,U.S. Senate,,Republican,Daniel CAMERON,48,21,26,1,
Leslie,A102,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,3,0,3,0,
Leslie,A102,U.S. Senate,,Republican,Andy BARR,166,28,135,3,
Leslie,A102,U.S. Senate,,Republican,Nate MORRIS,8,0,7,1,
Leslie,A102,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",2,0,0,2,
Leslie,A102,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,
Leslie,A102,U.S. Senate,,Republican,James D. DUNCAN,4,1,3,0,
Leslie,A102,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,
Leslie,A102,U.S. Senate,,Republican,Anissa CATLETT,1,0,1,0,
Leslie,A102,U.S. Senate,,Republican,Other Donald WENZEL,2,0,2,0,
Leslie,A102,U.S. Senate,,Republican,Jimmy I. LEON,1,0,1,0,
Leslie,A102,U.S. Senate,,Republican,George WASHINGTON,4,0,4,0,
Leslie,A102,U.S. House,5,Republican,Kevin SMITH,25,7,18,0,
Leslie,A102,U.S. House,5,Republican,Benjamin HURLEY,9,2,7,0,
Leslie,A102,U.S. House,5,Republican,Hal ROGERS,192,36,150,6,
Leslie,A102,U.S. House,5,Republican,Jerry Lee SHELTON,3,0,3,0,
Leslie,A102,U.S. House,5,Republican,Brandon R. MONHOLLEN,6,2,3,1,
Leslie,A102,State Senate,30,Republican,Brandon D. SMITH,191,34,150,7,
Leslie,A102,State Senate,30,Republican,Billy WESLEY,32,9,23,0,
Leslie,A102,Sheriff,,Republican,Chris ASHER,24,8,16,0,
Leslie,A102,Sheriff,,Republican,Billy Michael COLLETT,183,34,144,5,
Leslie,A102,Sheriff,,Republican,Lloyd POWERS,36,10,25,1,
Leslie,A102,Sheriff,,Republican,Homer David SMITH,7,0,6,1,
Leslie,A102,Magistrate District 1,1,Republican,Daniel SIZEMORE,168,40,126,2,
Leslie,A102,Magistrate District 1,1,Republican,Russell D. BROCK,92,18,69,5,
Leslie,A102,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,
Leslie,A102,U.S. Senate,,Democratic,Amy McGRATH,1,0,1,0,
Leslie,A102,U.S. Senate,,Democratic,Dale Lewis ROMANS,1,0,1,0,
Leslie,A102,U.S. Senate,,Democratic,Charles BOOKER,1,0,1,0,
Leslie,A102,U.S. Senate,,Democratic,Pamela STEVENSON,0,0,0,0,
Leslie,A102,U.S. Senate,,Democratic,Joshua BLANTON SR.,0,0,0,0,
Leslie,A102,U.S. Senate,,Democratic,Logan FORSYTHE,0,0,0,0,
Leslie,A103,U.S. Senate,,Republican,Daniel CAMERON,4,0,2,2,
Leslie,A103,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,2,2,0,0,
Leslie,A103,U.S. Senate,,Republican,Andy BARR,14,1,11,2,
Leslie,A103,U.S. Senate,,Republican,Nate MORRIS,2,0,2,0,
Leslie,A103,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,
Leslie,A103,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,
